Ticker,w_MV_allow,w_CVaR_allow,w_MV_long,w_CVaR_long
MMM,-0.019903883964386016,0.0064064142957252785,8.379691842954043e-20,0.0
AOS,-0.027776410003525636,0.01790353995898266,9.399507882478753e-20,0.0
ABT,-0.024077189357163572,0.006782891317942212,2.7859345928694304e-19,0.0
ABBV,-0.011064886917406086,0.026300050904409133,7.594844729087066e-19,0.0
ACN,-0.0015041481908731821,0.02139191984699223,2.880586202098334e-19,0.0
ADBE,-0.014420798624177566,-0.03624365231855847,0.0,0.0
AMD,-0.0034987487326050776,0.017086773065972925,7.962315219570474e-20,0.0
AES,0.024901411917613598,0.017919317639134163,2.81952650019747e-19,0.0
AFL,0.006832652891697371,0.1265040131510038,8.393653880753409e-19,0.0
A,0.012950329648364383,0.03474642262150518,3.164479071659607e-19,0.0
APD,-0.035762604365659416,-0.0654092044743806,0.0,0.0
ABNB,-0.011187858025550812,-0.005398447539432654,5.667846512229781e-19,0.0
AKAM,0.02408058655214048,0.027770940001284737,0.0,0.0
ALB,-0.0038677007191614894,-0.01623374850675146,8.168223498275891e-20,0.0
ARE,-0.034686819598608955,-0.041419561077645446,2.249806346651543e-19,0.0
ALGN,-0.02013524066692125,-0.004329786571177808,3.3808507433489057e-19,0.0
ALLE,0.025486763260422065,0.01674083808182575,1.5750424952868452e-20,0.0
LNT,0.02737289572910707,0.04054013799953737,9.14005697219576e-19,0.0
ALL,-0.01735578500153532,-0.03506398257998333,2.6158610343458444e-19,0.0
GOOGL,0.09626268141583165,0.35795665995602416,0.04194880574460101,0.0
GOOG,-0.06168561871832326,-0.3671337900101143,0.0,0.027199522383183235
MO,0.10239574201942427,0.040485728400853294,0.05805955565399555,0.05213522146254171
AMZN,0.03488186597720965,0.04769351193948089,5.488132810093917e-19,0.0
AMCR,-0.0017980742931133927,-0.018974394153162894,0.0,0.0
AEE,-0.016151929814267475,0.04061554366309729,8.253437297075625e-19,0.0
AEP,-0.08947463453275457,-0.11136345213795962,2.0954102227080418e-19,0.0
AXP,-0.004665471313302183,0.01776132664374924,1.1390709178185655e-21,0.0
AIG,-0.009440680207761218,0.05907485535356432,9.505780976626279e-20,0.0
AMT,0.020487958899883866,-0.03712123801998847,2.360572385040303e-19,0.0
AWK,0.006531103554271381,0.09204271748722485,6.196960156951758e-19,0.0
