symbol,sharesOutstanding_proxy
MMM,530279131
AOS,113372121
ABT,1738871947
ABBV,1767384632
ACN,615435159
ADBE,410500000
AMD,1628041540
AES,712120944
AFL,524113917
A,283498871
APD,222591758
ABNB,425294120
AKAM,143865237
ALB,117697540
ARE,170587154
ALGN,71749995
ALLE,86031953
LNT,257053689
ALL,261681708
GOOGL,5818000000
GOOG,5407000000
MO,1678671552
AMZN,10690216011
AMCR,461671988
AEE,270494916
AEP,534094530
AXP,688851653
AIG,539576054
AMT,468146623
AWK,195177161
AMP,92905713
AME,230203873
AMGN,538480671
APH,1224055508
ADI,488628595
AON,214935265
APA,354669251
APO,580422573
AAPL,14697926000
AMAT,792943366
APP,307597000
APTV,216079411
ACGL,362625938
ADM,480569735
ANET,1259285070
AJG,256805000
AIZ,50081110
T,7089449495
ATO,161747997
ADSK,212000000
ADP,404448744
AZO,16567821
AVB,141594945
AVY,77295394
AXON,79437268
BKR,986773882
BALL,267987212
BAC,7212464345
BAX,514055805
BDX,284908096
BBY,209535103
TECH,155812701
BIIB,146702272
BLK,155100000
BX,738450871
XYZ,547667000
BK,688236000
BA,783071257
BKNG,32233815
BSX,1483019808
BMY,2035753027
AVGO,4741273799
BR,116727559
BRO,341420790
BLDR,110580581
BG,193361047
BXP,158468685
CHRW,118137178
CDNS,272201000
CPT,106395330
CPB,298134245
COF,625100000
CAH,237595042
CCL,1167541049
CARR,842209781
CAT,467979596
CBOE,104644514
CBRE,297592997
CDW,130193660
COR,193993444
CNC,491518000
CNP,652868273
CF,155974644
CRL,49215471
SCHW,1776936770
CHTR,129409366
CVX,1999353597
CMG,1322278000
CB,393550859
CHD,240130071
CI,267125816
CINF,156018513
CTAS,399889646
CSCO,3951094563
C,1747500000
CFG,429242174
CLX,121980379
CME,359509289
CMS,304319765
KO,4301608845
CTSH,482646473
COIN,228176267
CL,806064942
CMCSA,3634450130
CAG,478369475
COP,1235718250
ED,360935608
STZ,173384625
CEG,362290080
COO,195978026
CPRT,968017684
GLW,857360396
CPAY,69958056
CTVA,675732000
CSGP,423822791
COST,443869411
CTRA,761377552
CRWD,252098440
CCI,435479010
CSX,1862136956
CMI,138036253
CVS,1269432485
DHR,706349563
DRI,115139249
DDOG,325443373
DVA,70600000
DAY,160034963
DECK,145744833
DE,271074458
DELL,333917807
DAL,652962768
DVN,627300000
DXCM,390016272
FANG,286525614
DLR,343501552
DG,220118871
DLTR,198853187
D,853913277
DPZ,33786218
DASH,406334617
DOV,137153223
DOW,710767392
DHI,290498069
DTE,207683012
DUK,777661224
DD,418975324
EMN,114069800
ETN,388400000
EBAY,452000000
ECL,283235653
EIX,384787056
EW,580300000
EA,250106129
ELV,222238763
EME,44765864
EMR,562302093
ETR,446596904
EOG,542598457
EPAM,55242618
EQT,624070822
EFX,122394037
EQIX,98186078
EQR,380474721
ERIE,46189068
ESS,64404022
EL,245852896
EG,41978058
EVRG,230214144
ES,375189145
EXC,1008290316
EXE,238169697
EXPE,117009063
EXPD,134020931
EXR,212247580
XOM,4217165614
FFIV,58089614
FDS,37099259
FICO,23709047
FAST,1148057473
FRT,86270031
FDX,235122816
FIS,517850764
FITB,661198000
FSLR,107308141
FE,577665555
FISV,537851887
F,3913646490
FTNT,743648102
FTV,317611636
FOXA,208361696
FOX,235581025
BEN,521390673
FCX,1435930660
GRMN,192334806
IT,72077145
GE,1048766702
GEN,616716107
GNRC,58684066
GD,270120442
GIS,533582081
GM,932861303
GPC,139110500
GILD,1240679623
GPN,280011757
GL,79605800
GDDY,135141594
GS,299928511
HAL,841626610
HIG,278900292
HAS,140337023
HCA,228193900
DOC,694949823
HSIC,117724807
HSY,148171608
HPE,1334533171
HLT,232435166
HOLX,223244905
HD,995511485
HON,634887208
HRL,550107295
HST,687689481
HWM,402500000
HPQ,917984523
HUBB,53144752
HUM,120273068
HBAN,1567732506
HII,39241434
IBM,934735206
IEX,74849436
IDXX,79851330
ITW,290100000
INCY,196322703
IR,395110395
PODD,70346898
INTC,4995000000
IBKR,445363717
ICE,570178585
IFF,256096379
IP,528038317
IPG,363328974
INTU,278274077
ISRG,354496073
IVZ,445092900
INVH,613020589
IQV,170300000
IRM,295589491
JBHT,94600000
JBL,105595267
JKHY,72377132
